iter	Passed	Remaining
686	3330	1517
687	3335	1512
688	3339	1507
689	3344	1502
690	3349	1497
691	3354	1492
692	3358	1487
693	3363	1482
694	3367	1477
695	3372	1473
696	3376	1467
697	3381	1462
698	3386	1458
699	3391	1453
700	3395	1448
701	3400	1443
702	3405	1438
703	3409	1433
704	3414	1428
705	3418	1423
706	3423	1418
707	3427	1413
708	3432	1408
709	3437	1403
710	3441	1399
711	3446	1394
712	3451	1389
713	3455	1384
714	3460	1379
715	3464	1374
716	3469	1369
717	3473	1364
718	3478	1359
719	3482	1354
720	3487	1349
721	3492	1344
722	3496	1339
723	3501	1334
724	3505	1329
725	3510	1324
726	3515	1319
727	3519	1314
728	3524	1310
729	3529	1305
730	3534	1300
731	3539	1295
732	3544	1290
733	3549	1286
734	3554	1281
735	3558	1276
736	3563	1271
737	3568	1266
738	3573	1261
739	3577	1257
740	3582	1252
741	3588	1247
742	3592	1242
743	3597	1237
744	3602	1233
745	3607	1228
746	3612	1223
747	3616	1218
748	3621	1213
749	3626	1208
750	3631	1203
751	3636	1199
752	3640	1194
753	3645	1189
754	3650	1184
755	3655	1179
756	3659	1174
757	3664	1169
758	3669	1165
759	3673	1160
760	3678	1155
761	3682	1150
762	3687	1145
763	3692	1140
764	3696	1135
765	3701	1130
766	3705	1125
767	3710	1120
768	3715	1116
769	3719	1111
770	3724	1106
771	3729	1101
772	3734	1096
773	3739	1091
774	3743	1086
775	3748	1082
776	3752	1077
777	3757	1072
778	3762	1067
779	3766	1062
780	3771	1057
781	3776	1052
782	3780	1047
783	3785	1042
784	3790	1038
785	3794	1033
786	3799	1028
787	3803	1023
788	3808	1018
789	3813	1013
790	3817	1008
791	3822	1003
792	3826	998
793	3831	994
794	3836	989
795	3841	984
796	3846	979
797	3850	974
798	3855	969
799	3859	964
800	3863	959
801	3868	955
802	3873	950
803	3877	945
804	3882	940
805	3886	935
806	3891	930
807	3895	925
808	3900	920
809	3905	916
810	3910	911
811	3915	906
812	3919	901
813	3924	896
814	3929	892
815	3934	887
816	3939	882
817	3945	877
818	3949	872
819	3954	868
820	3959	863
821	3964	858
822	3968	853
823	3974	848
824	3979	844
825	3983	839
826	3988	834
827	3993	829
828	3998	824
829	4003	819
830	4008	815
831	4012	810
832	4017	805
833	4022	800
834	4027	795
835	4032	790
836	4036	786
837	4041	781
838	4045	776
839	4050	771
840	4054	766
841	4059	761
842	4063	756
843	4068	751
844	4072	747
845	4077	742
846	4081	737
847	4086	732
848	4090	727
849	4095	722
850	4099	717
851	4104	713
852	4108	708
853	4113	703
854	4118	698
855	4123	693
856	4128	688
857	4132	683
858	4137	679
859	4141	674
860	4147	669
861	4151	664
862	4156	659
863	4162	655
864	4166	650
865	4171	645
866	4175	640
867	4180	635
868	4185	630
869	4189	626
870	4194	621
871	4199	616
872	4203	611
873	4208	606
874	4213	601
875	4217	597
876	4222	592
877	4226	587
878	4231	582
879	4236	577
880	4241	572
881	4246	568
882	4252	563
883	4257	558
884	4262	553
885	4267	549
886	4272	544
887	4277	539
888	4282	534
889	4287	529
890	4292	525
891	4297	520
892	4302	515
893	4306	510
894	4311	505
895	4317	501
896	4321	496
897	4326	491
898	4331	486
899	4335	481
900	4340	476
901	4345	472
902	4349	467
903	4354	462
904	4359	457
905	4363	452
906	4368	447
907	4372	443
908	4377	438
909	4381	433
910	4386	428
911	4391	423
912	4395	418
913	4399	413
914	4404	409
915	4409	404
916	4413	399
917	4418	394
918	4422	389
919	4427	384
920	4431	380
921	4436	375
922	4440	370
923	4445	365
924	4449	360
925	4454	355
926	4458	351
927	4463	346
928	4468	341
929	4472	336
930	4477	331
931	4481	326
932	4486	322
933	4490	317
934	4495	312
935	4501	307
936	4506	302
937	4511	298
938	4515	293
939	4520	288
940	4524	283
941	4529	278
942	4534	274
943	4538	269
944	4543	264
945	4547	259
946	4552	254
947	4557	249
948	4561	245
949	4566	240
950	4570	235
951	4576	230
952	4580	225
953	4585	221
954	4590	216
955	4595	211
956	4600	206
957	4604	201
958	4609	197
959	4614	192
960	4619	187
961	4623	182
962	4628	177
963	4633	173
964	4638	168
965	4643	163
966	4649	158
967	4653	153
968	4658	149
969	4663	144
970	4669	139
971	4674	134
972	4679	129
973	4685	125
974	4689	120
975	4694	115
976	4699	110
977	4704	105
978	4708	101
979	4714	96
980	4718	91
981	4723	86
982	4728	81
983	4733	76
984	4737	72
985	4742	67
986	4747	62
987	4751	57
988	4756	52
989	4760	48
990	4765	43
991	4769	38
992	4774	33
993	4779	28
994	4784	24
995	4788	19
996	4793	14
997	4798	9
998	4802	4
999	4807	0
